EllipObject 16733, PlaneEdges 532( V 532, P 0 )
 -> Valid edges : 
   v 325 : 3.34676e-10
   v 326 : 4.37635e-10
   v 327 : 2.82977e-10
   v 328 : 4.90034e-10
   v 329 : 3.34676e-10
   v 330 : 4.37635e-10
   v 331 : 2.82977e-10
   v 332 : 4.90034e-10
   v 333 : 3.34676e-10
   v 334 : 4.37635e-10
   v 335 : 2.82977e-10
   v 336 : 4.90034e-10
   v 337 : 3.34676e-10
   v 338 : 4.37635e-10
   v 339 : 2.82977e-10
   v 340 : 4.90034e-10
   v 341 : 3.34676e-10
   v 342 : 4.37635e-10
   v 343 : 2.82977e-10
   v 344 : 4.90034e-10
   v 345 : 3.34676e-10
   v 346 : 4.37635e-10
   v 347 : 2.82977e-10
   v 348 : 4.90034e-10
   v 349 : 3.34676e-10
   v 350 : 4.37635e-10
   v 351 : 2.82977e-10
   v 352 : 4.90034e-10
   v 353 : 3.34676e-10
   v 354 : 4.37635e-10
   v 355 : 2.82977e-10
   v 356 : 4.90034e-10
   v 357 : 3.34676e-10
   v 358 : 4.37635e-10
   v 359 : 2.82977e-10
   v 360 : 4.90034e-10
   v 361 : 3.34676e-10
   v 362 : 4.37635e-10
   v 363 : 2.82977e-10
   v 364 : 4.90034e-10
   v 365 : 3.34676e-10
   v 366 : 4.37635e-10
   v 367 : 2.82977e-10
   v 368 : 4.90034e-10
   v 369 : 3.34676e-10
   v 370 : 4.37635e-10
   v 371 : 2.82977e-10
   v 372 : 4.90034e-10
   v 373 : 3.34676e-10
   v 374 : 4.37635e-10
   v 375 : 2.82977e-10
   v 376 : 4.90034e-10
   v 377 : 3.34676e-10
   v 378 : 4.37635e-10
   v 379 : 2.82977e-10
   v 380 : 4.90034e-10
   v 381 : 3.34676e-10
   v 382 : 4.37635e-10
   v 383 : 2.82977e-10
   v 384 : 4.90034e-10
   v 385 : 3.34676e-10
   v 386 : 4.37635e-10
   v 387 : 2.82977e-10
   v 388 : 4.90034e-10
   v 389 : 3.34676e-10
   v 390 : 4.37635e-10
   v 391 : 2.82977e-10
   v 392 : 4.90034e-10
   v 393 : 3.34676e-10
   v 394 : 4.37635e-10
   v 395 : 2.82977e-10
   v 396 : 4.90034e-10
   v 397 : 3.34676e-10
   v 398 : 4.37635e-10
   v 399 : 2.82977e-10
   v 400 : 4.90034e-10
   v 401 : 3.34676e-10
   v 402 : 4.37635e-10
   v 403 : 2.82977e-10
   v 404 : 4.90034e-10
   v 405 : 3.34676e-10
   v 406 : 4.37635e-10
   v 407 : 2.82977e-10
   v 408 : 4.90034e-10
   v 409 : 3.34676e-10
   v 410 : 4.37635e-10
   v 411 : 2.82977e-10
   v 412 : 4.90034e-10
   v 413 : 3.34676e-10
   v 414 : 4.37635e-10
   v 415 : 2.82977e-10
   v 416 : 4.90034e-10
   v 417 : 3.34676e-10
   v 418 : 4.37635e-10
   v 419 : 2.82977e-10
   v 420 : 4.90034e-10
